index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
130,1027,296,2000,40,-45,45,-35,1,2.05957746280456,0.794102034512454,36.119607982172,15.5072484375
131,1035,304,2000,40,-45,45,-35,1,1.96173450422642,0.753058060271889,35.6976202072369,15.5072484375
132,1043,312,2000,40,-45,45,-35,1,1.9206535163174,0.728312250146456,35.2756323962411,15.5072484375
133,1051,320,2000,40,-45,45,-35,1,1.56797740611494,0.963431636373492,37.607946016118,15.5072484375
134,1059,328,2000,40,-45,45,-35,1,1.87439354416055,0.910314787708591,59.2203692913554,15.5072484375
135,1067,336,2000,40,-45,45,-35,1,2.51096362047111,0.749179809618155,80.8327925393319,15.5072484375
136,1075,344,2000,40,-45,45,-35,1,2.59611396799789,0.873892238091015,102.445215837658,15.5072484375
137,1083,352,2000,40,-45,45,-35,1,2.64231537882624,0.925409458189203,114.416864092483,15.5072484375
138,1091,360,2000,40,-45,45,-35,1,2.49088103956703,0.781678050686727,110.320554212762,15.5072484375
139,1097,1,2001,40,-45,45,-35,1,2.35359521876586,0.626670772581487,185.489513747759,15.5072484375
140,1104,8,2001,40,-45,45,-35,1,2.35359521876586,0.626670772581487,185.489513747759,15.5072484375
141,1112,16,2001,40,-45,45,-35,1,2.5124196721256,0.607282217984647,214.799212690426,15.5072484375
142,1120,24,2001,40,-45,45,-35,1,2.59887956816012,0.660263468035455,221.54963963608,15.5072484375
143,1128,32,2001,40,-45,45,-35,1,2.4748841648413,0.658992354221302,228.300066407389,15.5072484375
144,1136,40,2001,40,-45,45,-35,1,1.861315512799,0.899616977080219,235.050493310757,15.5072484375
145,1144,48,2001,40,-45,45,-35,1,2.22648770870707,0.949670861222442,240.206045630309,15.5072484375
146,1152,56,2001,40,-45,45,-35,1,2.44024962566562,0.926624510490209,240.576975220442,15.5072484375
147,1160,64,2001,40,-45,45,-35,1,2.36419526543991,0.698183286667258,240.947904914286,15.5072484375
148,1168,72,2001,40,-45,45,-35,1,2.39704155658297,0.727503274289309,241.318834583296,15.5072484375
149,1176,80,2001,40,-45,45,-35,1,2.80069226295823,0.562520763450444,213.903368256755,15.5072484375
150,1184,88,2001,40,-45,45,-35,1,2.2677231178403,0.873142216198384,177.22576999916,15.5072484375
151,1192,96,2001,40,-45,45,-35,1,2.49822875125891,0.693038551874327,140.548171868987,15.5072484375
152,1200,104,2001,40,-45,45,-35,1,2.68891100094662,0.510348760997378,103.870573638811,15.5072484375
153,1208,112,2001,40,-45,45,-35,1,3.03333577536206,0.637584519995366,86.5348277156884,15.5072484375
154,1216,120,2001,40,-45,45,-35,1,3.25221427732284,0.524298121430775,71.9622033924527,15.5072484375
155,1224,128,2001,40,-45,45,-35,1,3.15678177494128,0.458913482479379,57.3895792929332,15.5072484375
156,1232,136,2001,40,-45,45,-35,1,3.08781557451322,0.524269564739512,43.9269333643882,15.5072484375
157,1240,144,2001,40,-45,45,-35,1,3.37955083345957,0.513611582152732,38.2341354413992,15.5072484375
158,1248,152,2001,40,-45,45,-35,1,3.07659178470645,0.54727840502322,32.5413375090394,15.5072484375
159,1256,160,2001,40,-45,45,-35,1,3.15720935245537,0.492712787446908,26.848539561828,15.5072484375
160,1264,168,2001,40,-45,45,-35,1,2.88466858192078,0.585196642938139,21.9977928567927,15.5072484375
161,1272,176,2001,40,-45,45,-35,1,3.04787451839987,0.430886471162623,19.6731997702602,15.5072484375
162,1280,184,2001,40,-45,45,-35,1,2.89712230230966,0.475608420924839,17.3486066316731,15.5072484375
163,1288,192,2001,40,-45,45,-35,1,2.80241876787887,0.412628804766214,15.0240135107355,15.5072484375
164,1296,200,2001,40,-45,45,-35,1,2.54180437403554,0.318357937665088,13.8229190930393,15.5072484375
165,1304,208,2001,40,-45,45,-35,1,2.54298616976611,0.430028283172517,13.7453233439807,15.5072484375
