tc,days,years,latmin,lonmin,latmax,lonmax,stDevPC
105,97,2000,45,-45,50,-35,11.7111833972713
106,105,2000,45,-45,50,-35,11.0668511205263
107,113,2000,45,-45,50,-35,11.663800173754
108,121,2000,45,-45,50,-35,14.2783496926979
109,129,2000,45,-45,50,-35,16.1975399217658
110,137,2000,45,-45,50,-35,20.6869129962661
111,145,2000,45,-45,50,-35,22.6011876046558
112,153,2000,45,-45,50,-35,15.9005064359827
113,161,2000,45,-45,50,-35,16.4043283212487
114,169,2000,45,-45,50,-35,22.5345173325246
115,177,2000,45,-45,50,-35,23.8162123323115
116,185,2000,45,-45,50,-35,22.61441631472
117,193,2000,45,-45,50,-35,30.8237675965674
118,201,2000,45,-45,50,-35,29.8570831163106
119,209,2000,45,-45,50,-35,16.8540643456423
120,217,2000,45,-45,50,-35,9.15026055492343
121,225,2000,45,-45,50,-35,10.1376509082275
122,233,2000,45,-45,50,-35,8.3400980023125
123,241,2000,45,-45,50,-35,8.85466736514554
124,249,2000,45,-45,50,-35,8.8646615901422
125,257,2000,45,-45,50,-35,7.52315999600971
126,265,2000,45,-45,50,-35,7.86650247942334
127,273,2000,45,-45,50,-35,7.41067648472505
128,281,2000,45,-45,50,-35,7.67620948802957
129,289,2000,45,-45,50,-35,8.0602009804152
130,297,2000,45,-45,50,-35,7.87378656199113
131,305,2000,45,-45,50,-35,7.55283394822222
132,313,2000,45,-45,50,-35,7.70594947707075
133,321,2000,45,-45,50,-35,8.07395071282432
134,329,2000,45,-45,50,-35,8.55459191010025
135,337,2000,45,-45,50,-35,8.30735690124026
136,345,2000,45,-45,50,-35,9.7693635578228
137,353,2000,45,-45,50,-35,10.7081199999944
138,361,2000,45,-45,50,-35,12.0066374237788
139,1,2001,45,-45,50,-35,7.40095952629061
140,9,2001,45,-45,50,-35,7.71409731931265
141,17,2001,45,-45,50,-35,8.78032981064834
142,25,2001,45,-45,50,-35,8.44827052984791
143,33,2001,45,-45,50,-35,9.23067195764095
144,41,2001,45,-45,50,-35,8.79411057715095
145,49,2001,45,-45,50,-35,6.45820144561437
146,57,2001,45,-45,50,-35,7.38247085474822
147,65,2001,45,-45,50,-35,7.66845147204901
148,73,2001,45,-45,50,-35,6.69027731630358
149,81,2001,45,-45,50,-35,6.88129370842961
150,89,2001,45,-45,50,-35,7.27650813290285
151,97,2001,45,-45,50,-35,6.58896334163654
152,105,2001,45,-45,50,-35,12.2266394580542
153,113,2001,45,-45,50,-35,11.2947408016565
154,121,2001,45,-45,50,-35,11.903340471874
155,129,2001,45,-45,50,-35,13.5444867873555
156,137,2001,45,-45,50,-35,16.2271165800494
157,145,2001,45,-45,50,-35,18.8069487496537
158,153,2001,45,-45,50,-35,21.3514342664079
159,161,2001,45,-45,50,-35,14.9093307876895
160,169,2001,45,-45,50,-35,13.4798203212972
161,177,2001,45,-45,50,-35,12.5322713956908
162,185,2001,45,-45,50,-35,13.7945114052462
163,193,2001,45,-45,50,-35,9.25861419842896
164,201,2001,45,-45,50,-35,7.7585703356863
165,209,2001,45,-45,50,-35,6.9656890788035
166,217,2001,45,-45,50,-35,15.710489129518
167,225,2001,45,-45,50,-35,18.410476497204
168,233,2001,45,-45,50,-35,13.0325983898253
169,241,2001,45,-45,50,-35,10.6356903241422
170,249,2001,45,-45,50,-35,8.25649789962617
171,257,2001,45,-45,50,-35,7.96632803740276
172,265,2001,45,-45,50,-35,14.1454289774553
173,273,2001,45,-45,50,-35,7.72990345395471
174,281,2001,45,-45,50,-35,7.98451015177109
175,289,2001,45,-45,50,-35,7.86867306930096
