index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
59,461,96,8,2.40825782415443,0.552681085515595,122.987528393368,-1.15022221162918,14.161156875,102.275786762045,0.0681657402791235,0.0995933537341983,52.6169408071377,6.0678053152429,0.0122190775031958,47.5,2.40825782415443,1.32500289654386,3.491512751765,1.85557673863883,2.96093890967003
60,469,104,8,2.95358374638742,0.63913928122189,118.999904211396,-1.89510125996199,14.161156875,76.5292983631111,-0.0271011116139808,0.0897005187320105,43.7024630220073,7.16577385548997,0.0168831911738683,47.5,2.95358374638742,1.70087075519252,4.20629673758232,2.31444446516553,3.59272302760931
61,477,112,8,2.73677485347557,0.564313197898897,99.3698198468157,-2.63998031978394,14.161156875,106.206028504912,0.00958494485646212,0.0853951379327572,54.1539498909651,5.76780906016827,0.00103437715032624,47.5,2.73677485347557,1.63072098559373,3.84282872135741,2.17246165557667,3.30108805137447
62,485,120,8,2.81345441232727,0.477139279205415,77.5050981542802,-2.64207500656723,14.161156875,133.481351732647,0.0206192982084966,0.0757716385741843,48.3707578020299,5.10222095465178,0.0260353112720175,47.5,2.81345441232727,1.87826142508466,3.74864739956988,2.33631513312185,3.29059369153268
63,493,128,8,2.97840879799525,0.416138413861022,55.6403765365814,-1.9139534119158,14.161156875,133.62726700122,0.0479016907510923,0.0633874654678833,45.009947691792,5.4611286746453,0.0434346160033921,47.5,2.97840879799525,2.16277750682765,3.79404008916285,2.56227038413423,3.39454721185627
64,501,136,8,3.36162232400399,0.385932907558394,35.9600196892023,-1.18583181960647,14.161156875,93.8721144091612,0.0617828590505881,0.0664127656806899,42.4566716586885,6.25844733195228,0.0238986769682508,47.5,3.36162232400399,2.60519382518954,4.11805082281844,2.9756894164456,3.74755523156238
65,509,144,8,3.85588519640868,0.486084482953443,31.5702162683011,-0.548725427022133,14.161156875,114.214551756826,-0.0379885188969271,0.0656067528396895,36.3044424418282,7.91521702313489,0.00790013930876417,47.5,3.85588519640868,2.90315960981993,4.80861078299743,3.36980071345524,4.34196967936212
66,517,152,8,3.55197704523327,0.469579981830632,27.1804128660262,-0.503826899775479,14.161156875,138.151949866307,-9.39222273683112E-05,0.0648323885016572,40.8671887065971,7.16182741865279,0.00649664310013416,47.5,3.55197704523327,2.63160028084523,4.47235380962131,3.08239706340264,4.0215570270639
67,525,160,8,3.55122566741433,0.449254238260291,22.7906094406711,-0.324232795399233,14.161156875,93.2325294252651,0.0575723704246981,0.0671949132134483,40.8764277123746,7.62668952846883,0.0125862703262129,47.5,3.55122566741433,2.67068736042416,4.4317639744045,3.10197142915404,4.00047990567462
68,533,168,8,4.0118046308119,0.496031365076972,19.4783706736896,-0.144638691800475,14.161156875,86.8762860891637,-0.01971963721869,0.0548411797064193,33.7334711201989,8.14057046410991,0.0103419198564929,47.5,4.0118046308119,3.03958315526104,4.98402610636276,3.51577326573493,4.50783599588887
69,541,176,8,3.85404753306238,0.473950104374399,19.3988257764446,-0.00994311424351254,14.161156875,120.728879165277,-0.00682697363652732,0.0513853188276354,35.1660151198841,8.14418959577023,-0.0206987503780258,47.5,3.85404753306238,2.92510532848856,4.7829897376362,3.38009742868798,4.32799763743678
70,549,184,8,3.79943174397016,0.403158379833998,19.3192808374597,-0.0193089619213375,14.161156875,126.199783684553,-0.0355496402788608,0.0483654798984158,37.6301759942708,7.69890479353345,-0.0249213398411358,47.5,3.79943174397016,3.00924131949552,4.5896221684448,3.39627336413616,4.20259012380416
71,557,192,8,3.51503462173928,0.408387047202016,19.2397359318453,-0.0380406547137708,14.161156875,129.408010878219,-0.0323874056080217,0.044455945267886,37.4482497435481,6.97614395259143,-0.0302264143689712,47.5,3.51503462173928,2.71459600922333,4.31547323425523,3.10664757453726,3.9234216689413
72,565,200,8,3.25593537687512,0.406976192375673,18.9354106903325,-0.0567723503087958,14.161156875,98.6804240896937,-0.022742197220033,0.0451157765324038,43.5624910026794,6.90470709248084,-0.0254873036918712,47.5,3.25593537687512,2.4582620398188,4.05360871393144,2.84895918449945,3.66291156925079
73,573,208,8,3.07399779911485,0.348396597657719,18.4063051243292,-0.0661381970487416,14.161156875,93.3451815251975,-0.0213323082475596,0.0569373593418309,45.0125642601157,6.4671978906926,-0.0156772060498208,47.5,3.07399779911485,2.39114046770572,3.75685513052398,2.72560120145713,3.42239439677257
74,581,216,8,2.90333933313437,0.447560424949753,17.8771995244342,-0.00543893965030007,14.161156875,121.390379828519,-0.00295711268186789,0.0637032148941411,48.5019887476834,6.24558925812045,-0.0115649306878792,47.5,2.90333933313437,2.02612090023285,3.78055776603589,2.45577890818462,3.35089975808412
75,589,224,8,2.87968243167942,0.363871369931581,17.3480939611627,0.0916798755695541,14.161156875,124.077838295516,-0.0104053711342094,0.0615435610192728,49.587248131832,5.23033263441507,-0.00335080620146,47.5,2.87968243167942,2.16649454661352,3.59287031674532,2.51581106174784,3.243553801611
76,597,232,8,2.79643946260575,0.434581822014395,18.275770572722,0.188798688545963,14.161156875,102.571562141181,0.00331006521169691,0.0623786841209313,50.4608027582374,5.78097994637212,-0.00721584786203292,47.5,2.79643946260575,1.94465909145754,3.64821983375396,2.36185764059136,3.23102128462014
