index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,pgr,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
12,88,88,1,1.86471059233464,1.04946278944658,108.618674605953,0.218424212384107,15.5072484375,78.576273288207,-0.0494582971550438,1.86471059233464,-0.192236474980657,3.92165765964994,0.81524780288806,2.91417338178122
13,96,96,1,1.45308483121759,1.26856185389452,110.366068305026,0.218424244316086,15.5072484375,108.402087534229,0.122919447240412,1.45308483121759,-1.03329640241567,3.93946606485085,0.18452297732307,2.72164668511211
14,104,104,1,2.42073172904278,0.632335555213549,112.113462259554,-2.25576706305972,15.5072484375,113.334749158921,0.0913629408735487,2.42073172904278,1.18135404082422,3.66010941726134,1.78839617382923,3.05306728425633
15,112,112,1,3.15163525603117,0.532939633036334,94.0673257550766,-2.60922298039831,15.5072484375,109.239240324752,-0.00739781319720744,3.15163525603117,2.10707357527996,4.19619693678238,2.61869562299484,3.6845748890675
16,120,120,1,3.09245275045351,0.592686295527091,73.1935419118901,-2.6092229580879,15.5072484375,122.982581615129,0.0367781631568475,3.09245275045351,1.93078761122041,4.25411788968661,2.49976645492642,3.6851390459806
17,128,128,1,3.38667805570829,0.547388749861781,52.3197582471869,-2.34724354528307,15.5072484375,122.278263963844,-0.00835613530566247,3.38667805570829,2.3137961059792,4.45956000543738,2.83928930584651,3.93406680557007
18,136,136,1,3.31982897326299,0.498544385439361,33.5418098849224,-0.513387683271938,15.5072484375,88.35604062552,-0.00417797320655123,3.31982897326299,2.34268197780184,4.29697596872414,2.82128458782363,3.81837335870235
19,144,144,1,3.28640518761058,0.599451696796138,29.4347084187469,-0.513387677946866,15.5072484375,124.909349772183,-0.00967335871237003,3.28640518761058,2.11147986189015,4.46133051333101,2.68695349081444,3.88585688440672
20,152,152,1,3.20901831791162,0.42328696236519,25.327606995172,-0.513387675968304,15.5072484375,142.082093101887,-0.0124313808330663,3.20901831791162,2.37937587167585,4.03866076414739,2.78573135554643,3.63230528027681
21,160,160,1,3.10956727124709,0.418817203747889,21.2205055874255,-0.416005957341853,15.5072484375,141.453387199178,-0.0121358368212075,3.10956727124709,2.28868555190123,3.93044899059295,2.6907500674992,3.52838447499498
22,168,168,1,3.01248057667743,0.394780055891702,17.8924579286907,-0.123860779897206,15.5072484375,122.661309301509,-0.0606965618073363,3.01248057667743,2.23871166712969,3.78624948622517,2.61770052078573,3.40726063256913
23,176,176,1,2.52690808221874,0.38225679673723,16.901571689513,-0.12386077767549,15.5072484375,125.564530174802,-0.00250023983396875,2.52690808221874,1.77768476061377,3.27613140382371,2.14465128548151,2.90916487895597
24,184,184,1,2.50690616354699,0.360985688011122,15.9106854681091,-0.123860778680278,15.5072484375,130.428419608749,0.00225755665990001,2.50690616354699,1.79937421504519,3.21443811204879,2.14592047553587,2.86789185155811
25,192,192,1,2.52496661682619,0.279031100992894,14.9197992386669,-0.0670932177309325,15.5072484375,135.086815442315,-0.00750071687278254,2.52496661682619,1.97806565888012,3.07186757477226,2.2459355158333,2.80399771781908
26,200,200,1,2.46496088184393,0.31223388494647,14.3830534968194,-0.0103256586752849,15.5072484375,111.404749147505,0.00953155353950376,2.46496088184393,1.85298246734885,3.07693929633901,2.15272699689746,2.7771947667904
27,208,208,1,2.54121331015996,0.333119810029859,14.3004482274172,-0.0103256570620216,15.5072484375,115.149133190477,-0.04985820657322,2.54121331015996,1.88829848250144,3.19412813781848,2.2080935001301,2.87433312018982
28,216,216,1,2.1423476575742,0.427821906562947,14.217842970921,-0.0103256562517788,15.5072484375,123.242913992256,0.0303021776318575,2.1423476575742,1.30381672071082,2.98087859443758,1.71452575101125,2.57016956413715
29,224,224,1,2.38476507862906,0.34278698955229,14.1352377209068,0.205059023005889,15.5072484375,116.034433816284,-0.0194830021470063,2.38476507862906,1.71290257910657,3.05662757815155,2.04197808907677,2.72755206818135
30,232,232,1,2.22890106145301,0.316496744953685,15.7757099049539,0.33428982971753,15.5072484375,108.71939211389,0.0166418205303038,2.22890106145301,1.60856744134379,2.84923468156223,1.91240431649932,2.54539780640669
