index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0,light,pgrPhytC,sdpgrPhytC,Zeu,sdZeu
59,461,96,1999,40,-45,45,-35,1,2.4000087827884,0.658314819550573,106.756184595857,15.5072484375,95.13845515051,0.0865587887562742,0.115304538765646,52.756270408896,6.81177200260448
60,469,104,1999,40,-45,45,-35,1,3.09247909283859,0.735312155043919,111.065767646234,15.5072484375,104.748904823739,-0.0126666605032112,0.103226850707783,40.8105277181339,8.42038135975241
61,477,112,1999,40,-45,45,-35,1,2.9911458088129,0.593557554129245,104.076449143656,15.5072484375,94.4951964396446,-0.0453495529690307,0.112479721028887,47.8655727947424,8.69484728534777
62,485,120,1999,40,-45,45,-35,1,2.62834938506065,0.734243654674747,95.4730023385754,15.5072484375,98.2826966550267,0.0606950563962779,0.0882263184072779,48.6763120992653,8.63551855736268
63,493,128,1999,40,-45,45,-35,1,3.11390983623088,0.484187706667605,86.869554717276,15.5072484375,121.678490115317,0.00726371428511772,0.0720585140662966,50.3839789844558,7.13986398631231
64,501,136,1999,40,-45,45,-35,1,3.17201955051182,0.496053523426408,77.7579323385325,15.5072484375,111.383716556655,-0.00125212384957108,0.0649354143106406,48.7035091913746,7.62076325154156
65,509,144,1999,40,-45,45,-35,1,3.16200255971524,0.410696321393846,65.0890834288299,15.5072484375,134.361567166927,-0.0238596446266249,0.0581720776983758,48.1965519636544,7.09428216530669
66,517,152,1999,40,-45,45,-35,1,2.97112540270224,0.373399505660045,52.4202345291608,15.5072484375,99.5898858550914,-0.0262395491350453,0.0578779945836015,57.223189622032,7.98436243777723
67,525,160,1999,40,-45,45,-35,1,2.76120900962189,0.349337935216386,39.7513856545422,15.5072484375,160.967731038315,-0.0233005277298212,0.0622832390996791,61.2594144902966,6.95746822742386
68,533,168,1999,40,-45,45,-35,1,2.57480478778332,0.420982475885913,29.5088031612667,15.5072484375,138.273764299055,-0.0107391805786485,0.0669650350439584,62.63820121242,7.22300480428971
69,541,176,1999,40,-45,45,-35,1,2.48889134315413,0.395616304718143,26.5450198483797,15.5072484375,128.180807331861,-0.0348260910322137,0.0795419307658334,67.5753457735651,7.68359356383165
70,549,184,1999,40,-45,45,-35,1,2.21028261489643,0.530562297519762,23.5812364747458,15.5072484375,117.889073247744,0.0183476013644494,0.075663380381244,67.1024436068874,6.30171070945203
71,557,192,1999,40,-45,45,-35,1,2.35706342581202,0.293733056762934,20.617453131593,15.5072484375,116.231174107812,0.0241542138479768,0.0466699636324254,68.5739008753176,6.37843907215454
72,565,200,1999,40,-45,45,-35,1,2.55029713659583,0.282694625707936,18.8754159137276,15.5072484375,145.517515694506,0.00670919667878921,0.0569746270044367,71.37627261195,6.45236058543003
73,573,208,1999,40,-45,45,-35,1,2.60397071002614,0.404732368733134,18.3551248281698,15.5072484375,133.496493020043,0.00433227575555574,0.0607252156282823,70.7990417161923,6.67929104670631
74,581,216,1999,40,-45,45,-35,1,2.63862891607059,0.352567923473108,17.8348337323302,15.5072484375,136.229915592292,-0.0291375730279681,0.059612235199632,70.6800673239769,6.58107659403447
75,589,224,1999,40,-45,45,-35,1,2.40552833184685,0.352589437574237,17.3145426362505,15.5072484375,106.404481874126,0.00267176582307065,0.0555757478396533,75.169979145296,7.04025376062185
