index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
121,955,224,6,2.81189322993319,0.469262380112575,16.6592302845336,0.0280727850049042,18.1777503125,129.939112959122,0.0120681631379607,0.0663402689607229,47.9150040479175,7.24875918349896,-0.00447321330017502,52.5,2.81189322993319,1.89213896491254,3.73164749495384,2.34263084982062,3.28115561004576
122,963,232,6,2.90843853503687,0.416536878600003,15.8502757269144,0.100217090099017,18.1777503125,132.029912887909,0.00700496165642429,0.0731049685822602,47.1119827441381,7.24712798275942,0.000687107623027923,52.5,2.90843853503687,2.09202625298086,3.72485081709288,2.49190165643687,3.32497541363687
123,971,240,6,2.96447822828827,0.551837214213817,17.1236945363631,0.176134177926171,18.1777503125,68.8889782681234,-0.017011801925301,0.0815027085068589,47.9077633497455,7.16227239222603,-0.00577893751969209,52.5,2.96447822828827,1.88287728842919,4.04607916814735,2.41264101407445,3.51631544250209
124,979,248,6,2.82838381288586,0.461350883491722,19.06444044691,0.194163857534946,18.1777503125,88.2874283954385,-0.00732997229020044,0.0731592814921079,48.8961974640361,6.07038654973438,-0.00362738499848957,52.5,2.82838381288586,1.92413608124208,3.73263154452964,2.36703292939414,3.28973469637758
125,987,256,6,2.76974403456426,0.472778877597167,20.0774959971425,0.267134066341375,18.1777503125,79.3223807409241,0.0134596192200324,0.0817127694648094,48.187080099252,6.284792892613,0.00598421865826875,52.5,2.76974403456426,1.84309743447381,3.69639063465471,2.29696515696709,3.24252291216143
126,995,264,6,2.87742098832452,0.559854821550244,21.7836271172018,0.520567447068171,18.1777503125,61.7568253811925,0.0118230090449732,0.0862243839177708,44.7831277772789,6.69847006619251,-0.00589305426367832,52.5,2.87742098832452,1.78010553808604,3.974736438563,2.31756616677428,3.43727580987476
127,1003,272,6,2.97200506068431,0.590429603312084,25.475658039103,0.913596134547629,18.1777503125,48.1141649814243,-0.0429617910560416,0.109486821672262,45.5153077191781,5.92269867044964,-0.0278241040493317,52.5,2.97200506068431,1.81476303819263,4.12924708317599,2.38157545737223,3.56243466399639
128,1011,280,6,2.62831073223598,0.764813226947724,32.5711147267786,0.899097219184042,18.1777503125,61.474554770849,-0.0523335301369268,0.130125031020404,46.3300081632704,5.49202776381482,-0.0505589823041271,52.5,2.62831073223598,1.12927680741844,4.12734465705352,1.86349750528826,3.3931239591837
129,1019,288,6,2.20964249114056,0.76035397756886,43.7099343463449,0.781338257130787,18.1777503125,34.6972566911829,-0.0563816257194134,0.155340602571056,49.6913081914523,4.43064553380012,-0.0233432565902875,52.5,2.20964249114056,0.719348695105594,3.69993628717553,1.4492885135717,2.96999646870942
130,1027,296,6,1.75858948538526,0.970240752574406,47.05399129952,0.507097581183467,18.1777503125,41.4015295059012,0.0386853860854781,0.155765578360115,50.4258937313825,4.86460440711511,0.00247954027216876,52.5,1.75858948538526,-0.143082389660576,3.6602613604311,0.788348732810854,2.72883023795967
