tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
517,31.9034644160697,28.9472599696673,28.9472599696673,283.159903615525,29.283836304611,29.283836304611,135.677387554481,135.677387554481,171.082755202935,171.082755202935,21.3769644001877,297.538731721942,21.3769644001878,31.729724634503,145.693662676492
525,26.6488932695762,26.3138285705987,26.3138285705987,287.159788825308,26.526499744721,26.526499744721,136.962819979882,136.962819979882,183.571023823518,183.571023823518,21.3769644001877,342.405734551726,21.3769644001878,26.6209170924002,147.010739935841
533,26.2368933443966,24.8444415076328,24.8444415076328,302.648626443527,26.1461519863498,26.1461519863498,137.723746244779,137.723746244779,193.700411046274,193.700411046274,21.3769644001877,372.796809214119,21.3769644001878,26.2768478730468,147.821239818678
541,22.1139176414029,23.8910092793455,23.8910092793455,273.451382281585,22.0501387991998,22.0501387991998,138.275708793992,138.275708793992,188.932280220113,188.932280220113,21.3769644001877,392.217583907983,21.3769644001878,22.139456332624,148.418268746544
549,24.0909474177816,23.2713352118125,23.2713352118125,290.808777988865,23.3322567485956,23.3322567485956,138.744332778371,138.744332778371,190.257995740579,190.257995740579,21.3769644001877,403.234056791708,21.3769644001878,24.1612256236934,148.928471962899
557,20.5718841077184,22.858689805445,22.858689805445,261.913817705875,20.3766526472678,20.3766526472678,139.192661956419,139.192661956419,182.594920597434,182.594920597434,21.3769644001877,411.674578267825,21.3769644001878,20.5978074558659,149.418420457205
565,21.960646339124,22.8924706896353,22.8924706896353,256.679489997037,20.092170451234,20.092170451234,140.119290747023,140.119290747023,173.356067830413,173.356067830413,21.3769644001877,410.543381878168,21.3769644001878,22.0232471591839,150.446366686854
573,20.1355669870836,23.2423397118331,23.2423397118331,229.604752659678,18.1863244779644,18.1863244779644,141.78353090214,141.78353090214,160.484517903176,160.484517903176,21.3769644001877,409.820225203352,21.3769644001878,20.1630432349731,152.326360918005
581,22.6028394623134,23.4563717282654,23.4563717282654,255.938658378924,20.1101178685203,20.1101178685203,143.527616176675,143.527616176675,158.829808519708,158.829808519708,21.3769644001877,410.148767564478,21.3769644001878,22.6535899753834,154.380732960157
589,21.3444664951473,23.5203278058604,23.5203278058604,577.155326653526,19.8335319329111,19.8335319329111,345.844380803344,345.844380803344,156.801100079522,156.801100079522,21.3769644001877,414.580245643165,21.3769644001878,21.3760125703564,371.427386250956
597,19.0687273737657,22.5122453057154,22.5122453057154,917.213990127402,17.0451719805539,17.0451719805539,674.329437397675,674.329437397675,141.08574357232,141.08574357232,21.3769644001877,408.618459687916,21.3769644001878,19.0835497704443,732.148308652046
605,16.6058456917968,21.1336882654355,21.1336882654355,834.586458710081,14.250496617388,14.250496617388,797.705866691135,797.705866691135,118.785297022373,118.785297022373,21.3769644001877,389.86346924937,21.3769644001878,16.6055066432988,903.216957205062
613,19.2592759304363,20.0669543839434,20.0669543839434,735.942142480732,16.5930403820881,16.5930403820881,768.91686782256,768.91686782256,115.96391966196,115.96391966196,21.3769644001877,371.446017577577,21.3769644001878,19.2840276793831,960.672166825412
621,17.3737027196614,19.2459602937286,19.2459602937286,660.489790618529,17.5782649397217,17.5782649397217,690.083787455444,690.083787455444,114.577758801354,114.577758801354,21.3769644001877,356.755665969149,21.3769644001878,17.3544519950704,966.298636499829
629,16.5802084914666,18.6752024959135,18.6752024959135,601.138934821409,16.9845982499454,16.9845982499454,628.073649011301,628.073649011301,107.848676013634,107.848676013634,21.3769644001877,335.876819022238,21.3769644001878,16.5726271487546,947.964643433542
637,15.1389403957281,18.2575186924745,18.2575186924745,552.529676897717,15.7218825257566,15.7218825257566,577.286397959371,577.286397959371,98.0122276896567,98.0122276896567,21.3769644001877,312.513306648081,21.3769644001878,15.116230824,889.147337337233
645,14.5886171784333,17.9338045323142,17.9338045323142,500.233625461888,14.661788345399,14.661788345399,522.64716241569,522.64716241569,87.7014507165642,87.7014507165642,21.3769644001877,287.078641578512,21.3769644001878,14.5769348780328,812.889663250545
653,12.9548471363935,17.68597064622,17.68597064622,439.669964032105,13.0012274713772,13.0012274713772,459.4833756669,459.4833756669,75.3399566133105,75.3399566133105,21.3769644001877,261.280259591966,21.3769644001878,12.9201559300103,743.055214180102
661,11.5916470856921,16.6039975576211,16.6039975576211,379.804656720927,11.7032906149094,11.7032906149094,407.013818131608,407.013818131608,64.1434752421373,64.1434752421373,21.3769644001877,217.052564114269,29.7603681251432,11.5958676512496,641.881078157435
669,9.91387357960338,17.2896241906854,17.2896241906854,328.82706520654,9.63462278851844,9.63462278851844,369.962359079477,369.962359079477,51.0749993337288,51.0749993337288,21.3769644001877,166.084517986628,29.2549488505986,9.90551341744725,555.727444114009
677,9.13185702142,17.8878808577583,17.8878808577583,277.797353542281,7.72038904151455,7.72038904151455,331.811086457816,331.811086457816,39.270918166832,39.270918166832,21.3769644001877,122.447072782477,31.6013310302233,9.17383391294885,469.485725479196
685,8.31622712787929,18.6337488640439,18.6337488640439,225.282415224026,6.13094495415768,6.13094495415768,291.531782817382,291.531782817382,29.7473951653039,29.7473951653039,21.3769644001877,86.2585313771105,33.1509098811333,8.38934947376482,396.273896678339
