n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,pgr_median,pgr_lb68,pgr_ub68,pgr_lb95,pgr_ub95,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg,drp_median
3.72340073826064,2.57073451861304,6.12925804769504,0.00797830429819359,-0.0100620905469869,0.0263592243828993,-0.0100620905469869,0.0263592243828993,56.9321033407772,1.0971750296572,1.03604726873836,0.0654587937375992,0.047611312585314,0.728659146353249,0.0284886752385506,-0.00162028500030757,2.72050433605591,6.22198329846978,2.39277252245954,82.937246592694,25.8260900538233,0.466587169508003,-0.00388719380570975,-0.0120425973026925,0.00749890416263,-0.0120425973026925,0.00749890416263,2.45509009715948,2.02478212176743,2.72210545387809,2.02478212176743,2.72210545387809,11,-0.202949627548547
3.73284936903498,2.55178068985047,5.97677557544232,0.0108657515111182,-0.00464341179125835,0.0270144987071916,-0.00464341179125835,0.0270144987071916,57.1823011231116,0.932026480582794,0.873799285827316,0.0576857734601377,0.041543285486838,0.730962177278341,0.0274434748047692,-0.000729137646474068,2.71949761555927,6.14086931693781,2.32458809086181,77.5373968779875,29.737837670568,0.488968452419122,-0.00574234824995933,-0.0148129794006454,0.0092942000129575,-0.0148129794006454,0.0092942000129575,2.28015620330795,2.04680971812428,2.44628550281707,2.04680971812428,2.44628550281707,12,-0.169023828218551
3.7318156882503,2.57935295535253,5.83044947678983,0.0196377208586642,0.00813646525900963,0.0432116082763534,0.00813646525900963,0.0432116082763534,56.9811126698084,0.831344312609456,0.769833651651499,0.0535893253063425,0.0369102408255849,0.731304126141677,0.0283236254060285,0.000498881771520715,2.71234736771932,6.0653760632766,2.29404978216206,77.4987376676067,33.6495852791668,0.581026601573937,-0.00288489200826767,-0.00983307109822625,0.00938014948271167,-0.00983307109822625,0.00938014948271167,2.20359457302919,2.04082737510513,2.35600694750066,2.04082737510513,2.35600694750066,13,-0.115602220696724
3.73967089521549,2.50250166526797,5.67459344344665,0.00666769857704342,-0.00666697038099108,0.0207526525626806,-0.00666697038099108,0.0207526525626806,57.6639474873969,0.67109430694818,0.624889011059457,0.0502813681717647,0.0332433948917858,0.732354431020099,0.0251024466028553,-0.0015872328579975,2.70973717642985,5.97198003320854,2.25164074315853,65.0236545402576,37.5613329118822,0.673084750392509,-0.00248439013320059,-0.0144635164580425,0.0129449390442558,-0.0144635164580425,0.0129449390442558,2.31727373916046,2.17938030052296,2.47671280312249,2.17938030052296,2.47671280312249,14,-0.218911801264959
3.7495708774708,2.46863890994142,5.50617270684728,0.0121752419335433,0.00413261974336152,0.0176780044687985,0.00413261974336152,0.0176780044687985,58.08313025236,0.56507206758609,0.517575511952698,0.0454045944731747,0.0292314010681386,0.73475371396256,0.0231877260641074,-0.000576741433529994,2.676591698067,5.87203845946665,2.20271331722103,61.8265132866109,43.6824761083425,0.765142899376652,0.00167845825429966,-0.00722598521687673,0.011781003254185,-0.00722598521687673,0.011781003254185,2.21091879510953,1.95186728838916,2.4076343818498,1.95186728838916,2.4076343818498,15,-0.187893056936232
3.75736655627807,2.44175435761416,5.34300397382167,0.0112288090942879,-0.0128813333577708,0.0241488210476374,-0.0128813333577708,0.0241488210476374,58.3677953485789,0.472960145881458,0.429607126485898,0.0406528277254858,0.0262657715352347,0.736255314370917,0.0219334807118215,-0.0004497178945586,2.65276451594366,5.77645651320752,2.16800030657428,58.1679587224482,49.803619288587,0.780222466613063,0.0137150380921008,-0.0124213333422829,0.0256178916780557,-0.0124213333422829,0.0256178916780557,2.14396920983237,1.76790544015576,2.5875230559761,1.76790544015576,2.5875230559761,16,-0.17792239717334
3.76452240436692,2.36535628883529,5.17015204472279,0.00267660012230027,-0.0181359526462112,0.0237530434276329,-0.0181359526462112,0.0237530434276329,58.999940934685,0.384293624479,0.352707617172134,0.0394332544482487,0.0239613920573636,0.737453030535652,0.0195637961969104,-0.00148317043480141,2.6378816594483,5.66898753852563,2.12024251065856,50.1766981174066,55.9247624969219,0.900859037718983,0.00389487594838731,-0.015721410311213,0.028259488431362,-0.015721410311213,0.028259488431362,2.32675781193377,2.09642605461239,2.75945688122293,2.09642605461239,2.75945688122293,17,-0.254684459767876
3.77364154171615,2.2660162471537,4.97033071511648,0.00332597584343467,-0.0484375068910836,0.0484528764466937,-0.0484375068910836,0.0484528764466937,59.9256839179945,0.292015994255137,0.262185597375937,0.0382911311192176,0.0218995594143156,0.738978082225331,0.0161398251745386,-0.00145034996806865,2.63599358961217,5.52998247691781,2.04935429884496,42.1613477870086,62.407815307056,1.02149560217008,0.00330585996614142,-0.0207017208130801,0.0213288473745601,-0.0207017208130801,0.0213288473745601,2.46232225912992,1.91217979624485,2.72807709969438,1.91217979624485,2.72807709969438,18,-0.250368067440544
3.77793643925756,2.22668740567152,4.76426462900731,0.0126675313618184,-0.0199760249505359,0.0251389443540176,-0.0199760249505359,0.0251389443540176,60.2541603996257,0.240216116738037,0.204440742127786,0.0350694574817962,0.0190712766349782,0.739716769695184,0.0155392968714381,-0.000107920376002592,2.61503588318098,5.38700018003764,1.98574150124453,41.3807582302837,71.4242361938425,1.12705260507494,-0.00215390234351086,-0.0135524983734958,0.017784140718728,-0.0135524983734958,0.017784140718728,2.04677688981564,1.7265467826711,2.26900663604521,1.7265467826711,2.26900663604521,19,-0.212856511201627
3.77960546455774,2.16857877488257,4.54904296879623,0.00887162249196804,-0.016225362645612,0.0641486047850811,-0.016225362645612,0.0641486047850811,60.7656661096172,0.182922068048827,0.153387941882504,0.033527940604117,0.0169206878615311,0.739981453181253,0.0135380810762976,-0.00115047707801812,2.61141885321088,5.2371763873776,1.92866853902871,35.738080396942,80.4406569490038,1.25672703741932,0.00329992954901275,-0.0163399414197521,0.0385852379976966,-0.0163399414197521,0.0385852379976966,2.14842182970732,1.92216909275887,2.44346362488171,1.92216909275887,2.44346362488171,20,-0.215183780617276
