p_median,p_lb95,p_ub95,p_lb68,p_ub68,null_median,null_lb95,null_ub95,null_lb68,null_ub68
2.67369891791805,2.59807488127957,2.75229359655563,2.63544544714112,2.71361144408894,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.59974965580096,2.51217806031863,2.68549484907186,2.55897423380429,2.64734469190115,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.53696661703418,2.44078766497574,2.62920992605967,2.49292104588027,2.58652189902935,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.47969807724866,2.37588970851169,2.57596444935289,2.43223954354249,2.53381167989966,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.35826217354933,2.24780394433766,2.46446056276082,2.30373148133462,2.41442105457264,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.15447932216544,2.02470879954145,2.27680306696044,2.09056519638709,2.22197125077126,3.33615040773012,3.24643511082349,3.41832785500296,3.2955782564169,3.37688534252039
2.1043200720634,1.95145001050073,2.24665295997215,2.02385948030345,2.18599790607078,3.21101316829992,3.1276673795083,3.29083399715924,3.17143942316415,3.25118787666535
2.08577538164912,1.91902341005127,2.24223774220887,1.99513376587135,2.17686138382572,3.10057211598642,3.02424854432949,3.17603442469955,3.06222743183826,3.13942015153396
2.09657387313798,1.92317957947932,2.26607210559067,2.0015504344538,2.19388917716193,3.0150966451438,2.93908136986085,3.09033859497686,2.97757637438715,3.05425546788588
2.06165121989981,1.87923882911137,2.24035869909796,1.96459825717967,2.16130676972494,3.07633145957083,3.00055868452493,3.15318651666318,3.03900559226855,3.11502803853223
1.9976441561118,1.81023912068368,2.17989628028365,1.90213300203123,2.10127848064973,3.21006857425433,3.12676433658649,3.28986991716558,3.17051337518867,3.2502441967743
1.92682269458744,1.73562509378775,2.10201120554641,1.82560101014207,2.03061715667778,3.24880699317368,3.16372330481478,3.32985929543697,3.20974574658346,3.28971720665441
1.87216890920196,1.67807726108453,2.04950095712823,1.77291786990925,1.97424335891031,3.15508254561901,3.07580921490249,3.23309271282465,3.11678572760925,3.1947698948243
1.78977505810487,1.58851264948343,1.97032520969139,1.69109916752797,1.89479034459035,3.13774664689348,3.0597014092257,3.21505454976615,3.09920401564199,3.1770428966283
1.74378786788409,1.53958867527457,1.93119203298535,1.64126639337522,1.84921435106644,3.0560499398103,2.98013156828693,3.13314563078299,3.0186764431906,3.09480853358684
1.7564665229396,1.54682231162899,1.94746210296921,1.64940529702067,1.86288034456254,3.03365458052913,2.9582084501844,3.10972385705455,2.99660120164765,3.07281884781248
1.75950844567973,1.56111409665991,1.95178260615918,1.65694691353473,1.86428688556444,2.89452500744836,2.81890335453236,2.96877125673544,2.85686511484986,2.93320558356812
1.76261645238648,1.57073521074396,1.94881715837984,1.66853910513051,1.86237685361449,2.88539450883425,2.80999291093419,2.9600487577283,2.84844180475089,2.92428998585017
1.86760909543795,1.66980613546076,2.05811644911374,1.76706871744813,1.96593823387792,2.84919608116321,2.77293651054682,2.92334503926427,2.81229066103902,2.88779898464489
1.96957810955328,1.74255527906234,2.17599598844019,1.85691620975839,2.07409824913989,2.8084743283951,2.73248809566152,2.8844950762469,2.7705441743653,2.84764346446713
2.09958385448062,1.8403171370004,2.31998608470772,1.96915685243043,2.21421163396523,2.77031392134304,2.69109949132093,2.8508750181689,2.73114312618829,2.81005178834122
2.26299848096088,1.98289043826561,2.5064106647348,2.12733959258202,2.39128917462342,2.86844748875093,2.79207271216034,2.94299310496742,2.83153875601589,2.90707988902824
