index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD
176,1392,296,2001,45,-35,50,-25,5,2.55575727868952,0.724388057517162,69.2285921614039
177,1400,304,2001,45,-35,50,-25,5,2.24618194094851,0.743126347181103,74.613628172378
178,1408,312,2001,45,-35,50,-25,5,2.09432309440772,0.568976076081027,79.9986642939849
179,1416,320,2001,45,-35,50,-25,5,2.33121372134551,0.625750398744361,85.8267153871063
180,1424,328,2001,45,-35,50,-25,5,2.11687545249865,0.88252352349184,94.7558724212649
181,1432,336,2001,45,-35,50,-25,5,2.32509671164076,0.766201964711156,103.685029346016
182,1440,344,2001,45,-35,50,-25,5,1.62038373708334,1.08258316168473,112.614186316
183,1448,352,2001,45,-35,50,-25,5,1.07516124051727,1.42713573348962,131.469499462512
184,1456,360,2001,45,-35,50,-25,5,2.58039544746951,0.731540617550453,166.868406875266
185,1462,1,2002,45,-35,50,-25,5,1.36458704594014,1.12311885312885,171.791709722413
186,1469,8,2002,45,-35,50,-25,5,1.36458704594014,1.12311885312885,171.791709722413
187,1477,16,2002,45,-35,50,-25,5,2.0923292966881,0.928318902623957,171.062574514747
188,1485,24,2002,45,-35,50,-25,5,2.22964911162783,1.21028745605924,204.749007319544
189,1493,32,2002,45,-35,50,-25,5,2.37122330364653,0.827978157395146,238.435439709425
190,1501,40,2002,45,-35,50,-25,5,2.33386931597268,0.955138753880065,272.121872665685
191,1509,48,2002,45,-35,50,-25,5,1.50454189288824,1.10316165692707,301.872852766979
192,1517,56,2002,45,-35,50,-25,5,1.61523834195833,1.02922591599409,319.817473744288
193,1525,64,2002,45,-35,50,-25,5,1.80526291882603,1.21298567526147,337.762095652688
194,1533,72,2002,45,-35,50,-25,5,2.29732218717185,0.870407095396302,355.706716585691
195,1541,80,2002,45,-35,50,-25,5,2.39784499355438,0.679219924239702,328.552608078323
196,1549,88,2002,45,-35,50,-25,5,2.05350315315166,0.734633729856121,286.36558984995
197,1557,96,2002,45,-35,50,-25,5,2.60837023132256,0.681049864533306,244.178571681248
198,1565,104,2002,45,-35,50,-25,5,1.83332611109958,0.930131456763094,201.991553653876
199,1573,112,2002,45,-35,50,-25,5,2.53647062597443,0.637339302590801,164.404024667277
200,1581,120,2002,45,-35,50,-25,5,2.59604322266159,0.828689492634041,127.473565392329
201,1589,128,2002,45,-35,50,-25,5,3.17789514367171,0.592649997021158,90.5431062477167
202,1597,136,2002,45,-35,50,-25,5,3.08632932867061,0.624989149373335,57.1084367448093
203,1605,144,2002,45,-35,50,-25,5,3.02110332112292,0.343082103297837,48.1442946722773
204,1613,152,2002,45,-35,50,-25,5,2.67843785754749,0.532702484049109,39.1801524888973
205,1621,160,2002,45,-35,50,-25,5,2.98652587915562,0.446117463583298,30.2160103414953
206,1629,168,2002,45,-35,50,-25,5,3.03517279932321,0.427991214902837,22.912970212102
207,1637,176,2002,45,-35,50,-25,5,3.12603747136656,0.439877547660989,20.5932361451206
208,1645,184,2002,45,-35,50,-25,5,3.34433221012776,0.473566799163824,18.2735020490736
209,1653,192,2002,45,-35,50,-25,5,3.34665293446891,0.419285979840322,15.9537679900974
