tc,day,year,light,mld,dmld,N0,ps2,lsdps2,t
1256,162,2001,91.6912126193579,23.0278138404175,-0.178968530455614,16.5627625,49.87788,0.469139607751789,1250.98932
1264,170,2001,147.36384905052,21.5960655967726,-0.178968523986014,16.5627625,34.62966,0.371651417197801,1259.009465
1272,178,2001,130.555991111584,20.1643174048845,-0.178968530474226,16.5627625,34.29946,0.320616318580672,1266.984715
1280,186,2001,126.961850018543,18.7325691610907,-0.0756435519984633,16.5627625,35.95566,0.282534332797672,1275.00486
1288,194,2001,151.252170680683,18.127420745103,0.027681421307427,16.5627625,28.27396,0.413612628331473,1282.980475
1296,202,2001,135.200013822555,18.3488721155624,0.0276814225554114,16.5627625,27.34641,0.358793329814492,1291.000255
1304,210,2001,117.645134342046,18.5703234960057,0.0276814241251993,16.5627625,22.231365,0.377167522609947,1299.0204
1312,218,2001,115.94596824013,18.7917748890073,0.112217055927546,16.5627625,18.96037,0.356523584891634,1306.996015
1320,226,2001,99.0135290706959,19.6895113364276,0.162938442797295,16.5627625,17.90373,0.3888549592876,1315.015795
1328,234,2001,77.8513134014031,20.993018878806,0.162938441213015,16.5627625,18.44674,0.570306716592786,1322.99141
1336,242,2001,74.0895304869481,22.2965264085101,0.162938442621379,16.5627625,15.27799,0.504783222234992,1331.01119
1344,250,2001,75.0300363661735,23.6000339494812,1.03867574435348,16.5627625,12.497485,0.401027643211323,1338.986805
1352,258,2001,79.2294721249674,31.909439904309,1.3305881744913,16.5627625,12.64549,0.391464026646141,1347.00695
1360,266,2001,105.19754962541,42.5541453002394,1.33058818492831,16.5627625,14.057615,0.428255896433114,1354.9822
1368,274,2001,65.2801366366981,53.1988507796659,1.33058817006648,16.5627625,17.00543,0.676268091130406,1363.002345
1376,282,2001,52.7867359015629,63.8435561401978,0.673129502650773,16.5627625,18.15216,0.393583909063209,1370.97796
1384,290,2001,52.355080181159,69.2285921614039,0.673129501371756,16.5627625,16.165565,0.374948060058502,1378.99774
1392,298,2001,45.990259594267,74.613628172378,0.673129515200866,16.5627625,16.33385,0.54962222875018,1387.017885
1400,306,2001,41.6728935085243,79.9986642939849,0.72850638664017,16.5627625,12.68293,0.487613855817964,1394.993135
1408,314,2001,34.007706578787,85.8267153871063,1.11614462926983,16.5627625,10.37777,0.671080336500695,1403.01328
1416,322,2001,30.5703268429317,94.7558724212649,1.11614461559389,16.5627625,10.51791,0.459384881333411,1410.988895
1424,330,2001,30.5847476642716,103.685029346016,1.11614462124804,16.5627625,8.69609,0.98625742622875,1419.008675
1432,338,2001,25.3858432727861,112.614186316,2.35691414331397,16.5627625,9.08648,0.791661757818783,1426.98429
1440,346,2001,28.6264221506201,131.469499462512,4.42486342659429,16.5627625,6.174987,0.857806524426116,1435.004435
1448,354,2001,21.5058431818262,166.868406875266,4.42486342877152,16.5627625,6.264433,1.34344552254097,1442.979685
1456,362,2001,22.4429456782429,202.267314305439,-3.80945057287818,16.5627625,10.1348,0.54257449870997,1450.99983
1464,5,2002,34.6281712598572,171.791709722413,-0.0911419009582559,16.5627625,3.044191,1.49990433114804,1457.014665
1472,13,2002,32.0505957669243,171.062574514747,4.21080410059962,16.5627625,4.617555,0.902101210116168,1464.00989
1480,21,2002,45.1612012372355,204.749007319544,4.21080404873516,16.5627625,7.263893,0.888819056801485,1471.985505
1488,29,2002,26.7514109501458,238.435439709425,4.21080411953241,16.5627625,7.288021,0.826600586117005,1480.00565
1496,37,2002,37.1971461489374,272.121872665685,3.71887251266178,16.5627625,8.60665,0.786504645559496,1487.9809
1504,45,2002,31.8093849563615,301.872852766979,2.2430776221636,16.5627625,11.62057,0.771015142165238,1496.001045
1512,53,2002,52.2080054681316,319.817473744288,2.24307773855003,16.5627625,7.628433,0.830840938169266,1504.020825
1520,61,2002,76.1888529612103,337.762095652688,2.24307761662538,16.5627625,6.951171,0.57767873335658,1511.99644
1528,69,2002,77.3763675514925,355.706716585691,-3.39426356342106,16.5627625,9.672975,0.833764232183592,1520.016585
1536,77,2002,86.234565748826,328.552608078323,-5.27337727854655,16.5627625,9.84178,0.732710286911034,1527.991835
1544,85,2002,87.3002523436016,286.36558984995,-5.2733772710877,16.5627625,10.84057,0.606047155892297,1536.01198
1552,93,2002,98.4305405041908,244.178571681248,-5.27337725342158,16.5627625,10.28924,0.599891431211258,1543.987595
1560,101,2002,86.4225352052895,201.991553653876,-4.69844112332491,16.5627625,12.889305,0.592266415511923,1552.007375
1568,109,2002,70.7195805122069,164.404024667277,-4.61630740936846,16.5627625,9.49364,0.572758436798869,1559.98299
1576,117,2002,106.834314685496,127.473565392329,-4.61630739307652,16.5627625,11.07795,0.723835923613177,1568.00277
1584,125,2002,105.699968715557,90.5431062477167,-4.17933368786342,16.5627625,16.86243,0.522633780307745,1575.978385
1592,133,2002,128.367751662576,57.1084367448093,-1.1205177590665,16.5627625,28.062255,0.456770282101862,1583.99853
1600,141,2002,116.598114568288,48.1442946722773,-1.12051777292251,16.5627625,25.71829,0.611610057113972,1592.01831
1608,149,2002,138.681712786339,39.1801524888973,-1.12051776842525,16.5627625,19.908655,0.607087233095265,1599.993925
1616,157,2002,133.63496396593,30.2160103414953,-0.912880016174168,16.5627625,17.83834,0.432296363905784,1608.01407
1624,165,2002,131.43421868215,22.912970212102,-0.289966758372669,16.5627625,24.26723,0.476544544982434,1615.98932
1632,173,2002,136.565941399939,20.5932361451206,-0.289966762005871,16.5627625,23.944115,0.339889878637273,1624.009465
1640,181,2002,87.1788808721047,18.2735020490736,-0.289966757372026,16.5627625,26.17056,0.378504158253188,1631.984715
1648,189,2002,100.257300432299,15.9537679900974,-0.149467640765428,16.5627625,35.35454,0.38618111681136,1640.00486
1656,197,2002,129.074675034099,14.758026863974,-0.00896852321612318,16.5627625,34.45104,0.388847309390557,1647.980475
1664,205,2002,91.6397415054318,14.686278678245,-0.00896852476108023,16.5627625,28.87547,0.325324772930207,1656.000255
1672,213,2002,114.138638594139,14.6145304801564,-0.00896852298122108,16.5627625,28.527785,0.412874635017214,1664.0204
