tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
154,121,2001,40,-25,45,-15,28.8315447286599,15.0007618714687
155,129,2001,40,-25,45,-15,23.9372469541265,9.97948620028327
156,137,2001,40,-25,45,-15,28.2420822217233,15.7401129656379
157,145,2001,40,-25,45,-15,19.8918665611785,11.4995800628727
158,153,2001,40,-25,45,-15,17.4828227935483,9.85042787323218
159,161,2001,40,-25,45,-15,14.2255520673645,8.47005447877042
160,169,2001,40,-25,45,-15,13.2325369885481,6.88858387315823
161,177,2001,40,-25,45,-15,12.9272650262092,5.38992571888541
162,185,2001,40,-25,45,-15,17.1757256122803,8.07042894186704
163,193,2001,40,-25,45,-15,12.2581113643883,5.99430619672386
164,201,2001,40,-25,45,-15,11.1223712812488,4.87950630210017
165,209,2001,40,-25,45,-15,9.70831687031524,5.38175920861624
166,217,2001,40,-25,45,-15,11.2085243360119,4.49605436217387
167,225,2001,40,-25,45,-15,11.7952456525134,5.51550593017294
168,233,2001,40,-25,45,-15,11.476379766547,5.15135828382266
169,241,2001,40,-25,45,-15,11.4051789410868,4.52845316745156
170,249,2001,40,-25,45,-15,9.96495066188486,5.24347262789486
171,257,2001,40,-25,45,-15,12.9933809260942,5.65130272496359
172,265,2001,40,-25,45,-15,9.93403434312178,6.72152800950281
173,273,2001,40,-25,45,-15,12.3068638868444,7.58363158493294
174,281,2001,40,-25,45,-15,13.0720056945872,5.70490452425631
175,289,2001,40,-25,45,-15,12.7671459522554,6.17916745533304
176,297,2001,40,-25,45,-15,10.4716811327559,6.33508006619533
177,305,2001,40,-25,45,-15,17.2884806359062,6.76422262860449
178,313,2001,40,-25,45,-15,16.5526840957379,9.92842503028385
179,321,2001,40,-25,45,-15,8.92552338274961,6.24334559199768
180,329,2001,40,-25,45,-15,9.28193807949997,10.4961970869714
181,337,2001,40,-25,45,-15,12.9772488344187,5.48504654240662
182,345,2001,40,-25,45,-15,5.792053114241,5.04512924985374
183,353,2001,40,-25,45,-15,13.6268533064834,6.68853875421908
184,361,2001,40,-25,45,-15,8.56258784416235,6.36899975448668
185,1,2002,40,-25,45,-15,7.34661938147623,9.24491982834537
186,9,2002,40,-25,45,-15,6.77654516067538,4.95797142209282
187,17,2002,40,-25,45,-15,10.5635583206556,8.14049593384601
188,25,2002,40,-25,45,-15,12.0847847031352,8.47084989595427
189,33,2002,40,-25,45,-15,10.9563858375225,8.02876797040179
190,41,2002,40,-25,45,-15,13.1511318266889,8.11528576625595
191,49,2002,40,-25,45,-15,10.4175921853239,7.15471235761595
192,57,2002,40,-25,45,-15,13.8162486407531,8.12740966140252
193,65,2002,40,-25,45,-15,9.25584772819034,6.49276814913766
194,73,2002,40,-25,45,-15,18.3645121928553,6.75308451215755
195,81,2002,40,-25,45,-15,14.9155354917661,9.35554862064303
196,89,2002,40,-25,45,-15,18.9482699016316,10.0545125803448
197,97,2002,40,-25,45,-15,14.6097972254042,9.61920010143134
198,105,2002,40,-25,45,-15,24.8444601400964,18.2416951206194
199,113,2002,40,-25,45,-15,42.9028716623825,24.1485739048661
200,121,2002,40,-25,45,-15,36.3549725242208,19.8726962351836
201,129,2002,40,-25,45,-15,35.6301740559606,16.4651620803887
202,137,2002,40,-25,45,-15,31.5059386328525,10.7592317156358
203,145,2002,40,-25,45,-15,24.9821775354943,10.019050230378
204,153,2002,40,-25,45,-15,24.9683235510107,9.30405726721135
205,161,2002,40,-25,45,-15,20.9617897618561,10.5819698467415
206,169,2002,40,-25,45,-15,17.8475105380702,7.29434590537742
207,177,2002,40,-25,45,-15,20.331286207272,7.33100128997535
208,185,2002,40,-25,45,-15,16.7531814921151,6.38897170873306
209,193,2002,40,-25,45,-15,20.6447669127749,6.05963322647155
210,201,2002,40,-25,45,-15,13.4201573075685,5.38680500112734
211,209,2002,40,-25,45,-15,12.4868768524089,5.19004862237756
212,217,2002,40,-25,45,-15,12.3496976978353,5.67761618245808
