tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P13_ConstHighN,P14_MLDOnlyNUnlim
21,0.00786402121833891,0.0177907193525563,0.0177907193525563,0,-0.0065790642370975,-0.0065790642370975,0.00629107358154855,0.00629107358154855,-0.014845375545123,-0.014845375545123,1.56414831117381E-17,0.0110615079283823,0
22,0.00537849323701272,0.0214654379421156,0.0214654379421156,0.000909693610290172,-0.0106625856449593,-0.0106625856449593,0.0102987118063812,0.0102987118063812,-0.017408559662012,-0.017408559662012,1.56414831117381E-17,0.00866599073250914,0.00507079074171006
23,0.00405458908549768,0.0150180477954619,0.0150180477954619,-0.00289686612139045,-0.0017538010610713,-0.0017538010610713,0.00613769990887444,0.00613769990887444,-0.0115327915209845,-0.0115327915209845,1.56414831117381E-17,0.00844811641401912,-0.00327000947327422
24,-0.0013085836750467,0.00934142936576527,0.00934142936576527,0,-0.00681183063735946,-0.00681183063735946,0.00412917831473198,0.00412917831473198,-0.0147547349177862,-0.0147547349177862,1.56414831117381E-17,0.00156586529825857,0
25,0.0047939846566972,0.00898967161986324,0.00898967161986324,-0.00352655473587699,0.00769944833399235,0.00769944833399235,0.000806032859072089,0.000806032859072089,-0.004468064507468,-0.004468064507468,1.56414831117381E-17,0.0100486591722559,-0.00352655473587699
26,0.00840365434805767,0.00620043557106256,0.00620043557106256,-0.00260155698718736,0.0162710515576365,0.0162710515576365,0.000419590672598434,0.000419590672598434,0.00225070984820649,0.00225070984820649,1.56414831117381E-17,0.0142286690293772,-0.0036812757457659
27,0.00682449798968482,0.00292853321404502,0.00292853321404502,-0.00519767909175882,0.0202133135608857,0.0202133135608857,-0.00319585341020312,-0.00319585341020312,0.00560987194084738,0.00560987194084738,1.56414831117381E-17,0.0128333314577385,-0.00263206175903574
28,0.0122610924800432,0.00399696913828156,0.00399696913828156,-0.00391174084660602,0.0287924166823253,0.0287924166823253,-0.00150620233953836,-0.00150620233953836,0.0124398739765703,0.0124398739765703,1.56414831117381E-17,0.0189449683095836,-0.00272858472549091
29,0.0153455403486036,0.001630270728652,0.001630270728652,-0.00220100406705306,0.0333443183638463,0.0333443183638463,-0.00245833052121782,-0.00245833052121782,0.0167367961119255,0.0167367961119255,1.56414831117381E-17,0.0220447853239056,-0.00502181075104685
30,0.0133113582947385,-0.00017643112567761,-0.00017643112567761,-0.00379886913797016,0.0278926371580426,0.0278926371580426,-0.00263072312315235,-0.00263072312315235,0.0146625341447323,0.0146625341447323,1.56414831117381E-17,0.0186121235980718,-0.00483508548607493
31,0.0264846418926992,0.00327706830609869,0.00327706830609869,0.00450780341365626,0.03421939928252,0.03421939928252,-0.000416072256258536,-0.000416072256258536,0.0223361015556159,0.0223361015556159,1.56414831117381E-17,0.0315460699768611,-0.00367472810628029
