index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC
63,493,128,1999,45,-45,50,-35,2,3.22644000153642
64,501,136,1999,45,-45,50,-35,2,3.2224352912815
65,509,144,1999,45,-45,50,-35,2,3.39446059055334
66,517,152,1999,45,-45,50,-35,2,3.45675686974825
67,525,160,1999,45,-45,50,-35,2,3.35170238093335
68,533,168,1999,45,-45,50,-35,2,3.13034860225603
69,541,176,1999,45,-45,50,-35,2,2.80392141889627
70,549,184,1999,45,-45,50,-35,2,2.80486707662559
71,557,192,1999,45,-45,50,-35,2,2.81936686554756
72,565,200,1999,45,-45,50,-35,2,2.84953894829566
73,573,208,1999,45,-45,50,-35,2,2.62367660217652
74,581,216,1999,45,-45,50,-35,2,2.74207160850074
75,589,224,1999,45,-45,50,-35,2,2.58215505696352
76,597,232,1999,45,-45,50,-35,2,2.41343679003512
77,605,240,1999,45,-45,50,-35,2,2.21026071749832
78,613,248,1999,45,-45,50,-35,2,2.22877739034203
79,621,256,1999,45,-45,50,-35,2,2.56396189463065
80,629,264,1999,45,-45,50,-35,2,2.67414101028413
81,637,272,1999,45,-45,50,-35,2,2.66937618608695
82,645,280,1999,45,-45,50,-35,2,2.29538911097642
83,653,288,1999,45,-45,50,-35,2,2.67439053110525
84,661,296,1999,45,-45,50,-35,2,2.83385534195359
85,669,304,1999,45,-45,50,-35,2,2.29216870863832
86,677,312,1999,45,-45,50,-35,2,2.12175697519442
87,685,320,1999,45,-45,50,-35,2,1.84550703040825
88,693,328,1999,45,-45,50,-35,2,1.85303702916443
89,701,336,1999,45,-45,50,-35,2,1.96858364241888
90,709,344,1999,45,-45,50,-35,2,2.05984317670436
91,717,352,1999,45,-45,50,-35,2,1.67035424106056
92,725,360,1999,45,-45,50,-35,2,1.77605257597769
93,732,1,2000,45,-45,50,-35,2,2.04018916371012
94,739,8,2000,45,-45,50,-35,2,2.04018916371012
95,747,16,2000,45,-45,50,-35,2,1.56033592802163
96,755,24,2000,45,-45,50,-35,2,1.94182157766932
97,763,32,2000,45,-45,50,-35,2,1.57064726539372
