index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC
85,669,304,1999,40,-25,45,-15,7,2.5875230559761,0.542238945913841
86,677,312,1999,40,-25,45,-15,7,2.09642605461239,0.643946962984793
87,685,320,1999,40,-25,45,-15,7,2.72807709969438,0.558345061686029
88,693,328,1999,40,-25,45,-15,7,2.26067696801776,0.664350881096217
89,701,336,1999,40,-25,45,-15,7,2.33399610671474,0.789930139499506
90,709,344,1999,40,-25,45,-15,7,2.19992244264462,0.648970993209836
91,717,352,1999,40,-25,45,-15,7,2.13861935125887,0.814722545645795
92,725,360,1999,40,-25,45,-15,7,2.34125204464281,0.833164424086354
93,732,1,2000,40,-25,45,-15,7,2.0678551714829,0.779639717306794
94,739,8,2000,40,-25,45,-15,7,2.0678551714829,0.779639717306794
95,747,16,2000,40,-25,45,-15,7,2.24471417926684,0.909416591059162
96,755,24,2000,40,-25,45,-15,7,2.32118427872465,0.626948144010669
97,763,32,2000,40,-25,45,-15,7,1.97951782300816,0.66435973665217
98,771,40,2000,40,-25,45,-15,7,2.00048530091796,0.858966776763087
99,779,48,2000,40,-25,45,-15,7,2.28676721665365,0.580075777816755
100,787,56,2000,40,-25,45,-15,7,2.3486104290654,0.688008171544861
101,795,64,2000,40,-25,45,-15,7,2.72413892005376,0.662634807635743
102,803,72,2000,40,-25,45,-15,7,3.39693611265562,0.677857670046741
103,811,80,2000,40,-25,45,-15,7,3.17306128281175,0.594661056662713
104,819,88,2000,40,-25,45,-15,7,2.46676554643382,0.544479370829123
105,827,96,2000,40,-25,45,-15,7,3.03165027277316,0.482767774851964
106,835,104,2000,40,-25,45,-15,7,2.67728702845907,0.488215016394762
107,843,112,2000,40,-25,45,-15,7,2.98373835525489,0.45466211515776
108,851,120,2000,40,-25,45,-15,7,2.78407970647433,0.560135269688734
109,859,128,2000,40,-25,45,-15,7,2.88218303262722,0.48280035815993
110,867,136,2000,40,-25,45,-15,7,3.10067292729912,0.410849132267889
