tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly
16,2.01121313539321,2.71463433399975,2.34280262521083,4.44643875381657,2.26060090577754,2.25749240503129,5.15528564734242,3.23580431236322,5.26957285291634,5.26957285291634,2.75327954065044
17,1.94017065863005,2.72706839303252,2.33314162858771,4.27924675717412,2.1869791807878,2.1703085159914,5.0944361771258,3.16193559964719,5.11950596875367,5.11950596875367,2.75321331105517
18,1.92315762282386,2.73336725606288,2.32138223556254,4.12384407420746,2.1258649348643,2.18766544076557,5.02027965630198,3.0901958690799,5.0069368225074,5.0069368225074,2.7531640127622
19,1.87973880321246,2.73344425958152,2.30610202900854,3.97179705507057,2.06352541145768,2.12901682369522,4.93879353418281,3.02075909331266,4.88512190674608,4.88512190674608,2.75312731610676
20,1.81679160953959,2.73284612486695,2.28495654256912,3.8188530677393,1.99794244628424,2.08620099775271,4.84757075588234,2.95060275826024,4.75971027613399,4.75971027613399,2.75309999916235
21,1.77034574089759,2.73905673888346,2.25089151817202,3.65970281565572,1.9389194834032,2.08141612910034,4.74277797770907,2.86817410928909,4.65539837265471,4.65539837265471,2.75307966407862
22,1.68726201658928,2.73608013822535,2.18016655747658,3.46615364644483,1.87619074989843,2.02340849166861,4.61908630247088,2.7460182965499,4.53194707530183,4.53194707530183,2.75306452616846
23,1.63889805609179,2.75036642875994,2.12151413767976,3.29154411600859,1.8238889779659,2.06216212227601,4.51987273748337,2.63664125862405,4.4525681480239,4.4525681480239,2.75305325703736
24,1.5995265734056,2.73086153397504,2.08866904693594,3.1924320424524,1.79278655809537,2.05035153982078,4.43312101379991,2.57605008918483,4.39021348436762,4.39021348436762,2.75304759429276
25,1.62733147970111,2.7506651818886,2.08360272150333,3.1191389748844,1.77412602003008,2.18983008421525,4.39755960358786,2.53824725018316,4.39379406081783,4.39379406081783,2.75304141222565
26,1.72233865735443,2.75027991898625,2.0785005443635,3.06669361367807,1.78141006385619,2.45669038403454,4.36060470221493,2.49892339818534,4.49390964544731,4.49390964544731,2.75303605010459
27,1.83519688131188,2.74550092974273,2.0687513823211,3.0355683659263,1.81068827848453,2.68019932547361,4.29439821109266,2.45838789926412,4.60888468132372,4.60888468132372,2.75303205829648
28,1.97730344326334,2.74437985466576,2.06483273500156,3.0372709177539,1.8681837624818,2.89020712933887,4.25399639352382,2.42661564004944,4.74854528039134,4.74854528039134,2.75302908660373
29,2.15053072614214,2.74294786348922,2.06926146813629,3.07784186241074,1.95657805878169,3.04160200849699,4.22050216091666,2.40608404649316,4.90408808624781,4.90408808624781,2.75302687432905
30,2.30902066714219,2.73674349262408,2.07990204831525,3.13472484450651,2.05439428087403,3.04668747837945,4.21841530781711,2.39436017837331,5.01775028259757,5.01775028259757,2.7530252274001
31,2.48859728419394,2.74134419363865,2.09893636045493,3.2261214978578,2.17998884392706,3.12375039720405,4.24199957499964,2.39241011310746,5.16163529741547,5.16163529741547,2.75302400134165
32,2.71875532733078,2.58382252386649,2.44623958874371,3.37739442043294,2.34474831303964,3.19553670575755,4.24528514811466,2.67853153526911,5.34529352359459,5.34529352359459,2.46600475105246
33,2.91492647658829,2.51171103391776,2.87884201324245,3.54257337216767,2.50762980755192,3.10874883362174,4.27825556782837,3.06071990413584,5.47615385468141,5.47615385468141,2.50094677365679
34,2.99436306330777,2.47679669821012,3.10950315426272,3.64042760489715,2.64986848495719,3.03391346921939,4.22919321454237,3.28814260323301,5.5581201603553,5.5581201603553,2.55046152857492
35,3.03250328057,2.47089491121542,3.21518819749033,3.69937196937876,2.77375427674516,2.98785293462254,4.16601700759018,3.42557068853371,5.61768913226875,5.61768913226875,2.59210665294693
36,3.09078421610562,2.50962715776631,3.30333104527597,3.78984794772316,2.88106766905201,2.95727339376977,4.13787892238485,3.56362387247769,5.66596410201708,5.66596410201708,2.6263140338308
37,3.13341547601312,2.55119370893247,3.37696874782088,3.90958782095175,2.97301336135516,2.93516947127821,4.15611865696631,3.71038901160139,5.70784257910718,5.70784257910718,2.65400371116606
38,3.1460377779511,2.59244744100043,3.4190071122915,4.0442613384805,3.05019127645288,2.9178787876832,4.21156786256467,3.85776004370244,5.7454697087878,5.7454697087878,2.67613520030028
39,3.16944546860784,2.76591344583798,3.31977969502279,4.21232750190004,3.12236987260758,2.98191087645935,4.3215376856484,3.96758809031724,5.80386337250168,5.80386337250168,2.88949739442006
40,3.28095739482115,3.02084916623259,2.92646682178135,4.48287148297612,3.22740714280003,3.0254741951301,4.58813834632078,3.8997527059663,5.94649562667018,5.94649562667018,2.97079004895113
41,3.34418297868272,3.08535895995686,2.72179144283905,4.84511906999375,3.31833621691324,3.01039495601658,4.89287240007047,3.86267628113695,6.06660752057951,6.06660752057951,2.90418452883974
42,3.13955591900164,2.95868978399618,2.6377947779483,5.16782548882136,3.36825053013384,2.94418450867068,5.16776311307459,3.86136615924988,6.13964916403315,6.13964916403315,2.86010916429487
43,3.08289406072647,2.91011846970673,2.61385150429282,5.41310310917363,3.37686693281017,2.93558644037875,5.36907787412243,3.87325590228547,6.20036455568327,6.20036455568327,2.8300740752563
44,3.02309852277327,2.88924022634649,2.63192345129516,5.62541546616827,3.34155807510523,2.89624024913506,5.53797997044468,3.90355281692199,6.24789666691118,6.24789666691118,2.80902377068404
45,2.98187786139837,2.88944816266127,2.6822921923215,5.79996340231683,3.25905338376467,2.84273838769475,5.68895465733116,3.95117005894473,6.26914401360153,6.26914401360153,2.79400217692585
46,2.89354759332932,2.86261198280455,2.73125624695671,5.90903554877399,3.14269211776776,2.78640390016301,5.80649210400475,4.00024351408002,6.25497929070095,6.25497929070095,2.78315218379332
