index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
27,208,208,5,20.5672450281432,19.3617445605341,7.36986423793386,0.347564594758826,13.6490322001278,-0.0543821046904913,16.5627625,106.412367928504
28,216,216,5,16.1431767446879,14.9583783304652,6.55115345699375,0.390450768993806,13.2139753626039,-0.0543821037974603,16.5627625,118.513845259652
29,224,224,5,15.789297985865,14.4763910912571,6.87534920551731,0.416685123328317,12.7789185322242,0.172065742015835,16.5627625,104.087536958826
30,232,232,5,11.804577641214,10.4178823234255,6.29010067153052,0.499927211074258,14.1554444683509,0.307934447602475,16.5627625,65.0119841211411
31,240,240,5,11.8443389275918,10.6039864547714,5.89394657277055,0.470361594408655,16.6189200491707,0.307934445242094,16.5627625,84.9587220249949
32,248,248,5,13.2189057354381,11.4720841082357,7.56740040279946,0.53241232544064,19.0823956111074,0.307934449873871,16.5627625,84.4262172920817
33,256,256,5,16.2061333351417,14.9795638644161,6.69120049323127,0.396744019189916,21.5458712100984,0.521285030825259,16.5627625,76.4364608805216
34,264,264,5,11.2713022592829,9.74876149450874,6.54072861568228,0.53873856664612,25.7161514567005,0.592401883049556,16.5627625,65.454601605743
35,272,272,5,15.5650028738835,13.4507566424893,9.06352723393264,0.54035104907534,30.4553665210969,0.592401887346063,16.5627625,59.3448156150474
36,280,280,5,12.9305589506279,11.3854444541129,6.96135435146436,0.504495160531444,35.1945816198654,0.592401884529329,16.5627625,55.4805675584866
37,288,288,5,14.3000991509151,13.1839055619113,6.00765153743392,0.403161656941681,39.9337966961,1.62388716725425,16.5627625,52.3646140731965
38,296,296,5,15.3532996644369,14.2245821771277,6.23646328026669,0.390791007157729,52.9248940341341,1.62388717060702,16.5627625,51.5311799241266
39,304,304,5,11.4944580598423,9.2404534443718,8.50400898312224,0.660717871498554,65.9159913989902,1.62388718155112,16.5627625,44.1533868917635
40,312,312,5,11.9349599466018,7.9941430151092,13.2307985810988,0.895279569060267,78.9070888513992,1.4670983908201,16.5627625,38.2430367123898
41,320,320,5,7.68971158713618,6.31333208491317,5.3472653643104,0.628044069383788,90.64387597796,0.369576951492993,16.5627625,36.2926863574726
42,328,328,5,10.8501684474165,8.98689339170967,7.34013503004594,0.613862165095563,93.6004915899039,0.369576978799371,16.5627625,34.3889365441585
