p_median,p_lb95,p_ub95,p_lb68,p_ub68,p_maxL_median,p_maxL_lb95,p_maxL_ub95,p_maxL_lb68,p_maxL_ub68,p_minL_median,p_minL_lb95,p_minL_ub95,p_minL_lb68,p_minL_ub68,p_noZ_median,p_noZ_lb95,p_noZ_ub95,p_noZ_lb68,p_noZ_ub68,p_maxMLD_median,p_maxMLD_lb95,p_maxMLD_ub95,p_maxMLD_lb68,p_maxMLD_ub68,p_minMLD_median,p_minMLD_lb95,p_minMLD_ub95,p_minMLD_lb68,p_minMLD_ub68,p_maxLNZ_median,p_maxLNZ_lb95,p_maxLNZ_ub95,p_maxLNZ_lb68,p_maxLNZ_ub68,p_minLNZ_median,p_minLNZ_lb95,p_minLNZ_ub95,p_minLNZ_lb68,p_minLNZ_ub68,p_maxMLDNZ_median,p_maxMLDNZ_lb95,p_maxMLDNZ_ub95,p_maxMLDNZ_lb68,p_maxMLDNZ_ub68,p_minMLDNZ_median,p_minMLDNZ_lb95,p_minMLDNZ_ub95,p_minMLDNZ_lb68,p_minMLDNZ_ub68,p_zOnly_median,p_zOnly_lb95,p_zOnly_ub95,p_zOnly_lb68,p_zOnly_ub68
3.20387426211511,3.06936742186235,3.34743027994957,3.13358237389696,3.27401648053772,2.85398619471747,2.76574398356245,2.94652611990253,2.81009777684316,2.90173128767805,2.19277475566297,1.58297380810816,2.6545146049243,1.89703528797674,2.46798436574719,NaN,NaN,NaN,NaN,NaN,1.38320877550574,0.120425875900021,2.51442208050714,0.740130546351812,1.98041126487446,NaN,NaN,NaN,NaN,NaN,2.97707165059395,2.97707165059395,2.97707165059395,2.97707165059395,2.97707165059395,NaN,NaN,NaN,NaN,NaN,1.4988245052044,0.13143814818484,2.66290328921188,0.827101365117771,2.11469889302245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.19285411240696,3.04445590421702,3.35293936787792,3.12211272965436,3.26959533373207,2.88193862735856,2.79703992512029,2.97230687237913,2.84043866612465,2.92817013422787,2.5445433454902,1.98179530101486,2.94708734668093,2.26493585550351,2.78342983116432,NaN,NaN,NaN,NaN,NaN,1.68907235284093,0.390593177262163,2.79326660850294,1.03108827439957,2.28393220716637,NaN,NaN,NaN,NaN,NaN,3.16571021953086,3.16571021953086,3.16571021953086,3.16571021953086,3.16571021953086,NaN,NaN,NaN,NaN,NaN,1.78959716767208,0.394197392069342,2.89581838799064,1.10527240286903,2.40148401434112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.06072899094172,2.93814789774347,3.19694888503145,2.99579931130459,3.1273804870821,2.89534423963009,2.81148394251128,2.9813011241036,2.85366941042245,2.94182104285464,2.91202642368565,2.43090843010688,3.2016260065594,2.69053147224871,3.08111553624125,NaN,NaN,NaN,NaN,NaN,1.95100534592266,0.645413349039931,3.00482745803388,1.2973907587019,2.53518986744756,NaN,NaN,NaN,NaN,NaN,3.34808551987413,3.34808551987413,3.34808551987413,3.34808551987413,3.34808551987413,NaN,NaN,NaN,NaN,NaN,2.05015314801639,0.654326028638494,3.12325601020058,1.36048803954873,2.64751194078005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.03172071366221,2.93563650777464,3.13042834272244,2.98028332621169,3.08495293055591,2.90975942119461,2.82918803279693,2.99401318295805,2.86918661310844,2.95472337199574,3.20458036682795,2.89309192823344,3.40869788259264,3.07940496980789,3.31616374688986,NaN,NaN,NaN,NaN,NaN,2.22211333497986,0.895144321077731,3.18772002948273,1.57253203556382,2.76499858015778,NaN,NaN,NaN,NaN,NaN,3.44133258849806,3.44133258849806,3.44133258849806,3.44133258849806,3.44133258849806,NaN,NaN,NaN,NaN,NaN,2.30285386930279,0.92342692005756,3.31824725077151,1.62530245136536,2.8520985078188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.21535715466955,3.09085032231077,3.3307876260848,3.15334381619319,3.2785965208272,3.07339806760044,2.97076820137142,3.17813929284115,3.02211416327874,3.12618053534266,3.33394823925016,3.1677300454221,3.52751198457352,3.25025725584274,3.4308105304241,NaN,NaN,NaN,NaN,NaN,2.52101315034189,1.21440603804083,3.35717334279957,1.87730168073612,3.01048234340253,NaN,NaN,NaN,NaN,NaN,3.45422861164929,3.45422861164929,3.45422861164929,3.45422861164929,3.45422861164929,NaN,NaN,NaN,NaN,NaN,2.58461354837041,1.23099649761864,3.50656190608505,1.92489031556105,3.07118257696364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.17078766892652,3.07639306898293,3.28099923484663,3.12047879878692,3.22578388118731,3.04144836510467,2.95593393626723,3.12661532591302,2.99836052873638,3.08706863752952,3.58213813972395,3.3224454547513,3.8184433809524,3.45425083313747,3.69945418525871,NaN,NaN,NaN,NaN,NaN,2.81430054311153,1.55691905503303,3.50232578164008,2.21882310667738,3.24586560376031,NaN,NaN,NaN,NaN,NaN,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,NaN,NaN,NaN,NaN,NaN,2.86825016830411,1.56795794718876,3.67434092363238,2.25148912969782,3.29713393112055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.05938328568059,2.97801383736636,3.14847076633602,3.01854357690838,3.10879562558104,2.99388888671433,2.91630519414051,3.07754591223242,2.95457963248365,3.03877519158993,3.36225257456207,3.18552833529915,3.67796997606881,3.26102122447156,3.5023455082514,NaN,NaN,NaN,NaN,NaN,3.06833620154147,1.87496901285037,3.59916742238417,2.53032264483316,3.39557670012791,NaN,NaN,NaN,NaN,NaN,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,NaN,NaN,NaN,NaN,NaN,3.10303984625945,1.90258195284155,3.75924841707827,2.55149069814402,3.46624804680481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.00626107590439,2.92633311509579,3.09704063046681,2.96439898846222,3.05334445291455,2.9353258581994,2.85837517588908,3.02298134367211,2.89489836240478,2.98024009500871,3.19243069604807,3.09875149245451,3.30356989780053,3.1425027918103,3.25113886682742,NaN,NaN,NaN,NaN,NaN,3.25784345986445,2.19548500584513,3.63628088183191,2.82245285571506,3.50298794187753,NaN,NaN,NaN,NaN,NaN,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,NaN,NaN,NaN,NaN,NaN,3.29644904123074,2.22733592794279,3.85170157037659,2.83056057173853,3.59110164533132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.87884592679495,2.80341089851009,2.96290665749284,2.83927878396938,2.92268988863065,2.86072717305185,2.78805423905636,2.94500077454165,2.82282155258496,2.90394714844657,3.05089756810123,2.97199391866559,3.1422858662338,3.00972320627077,3.09960465259725,NaN,NaN,NaN,NaN,NaN,3.38576942690759,2.49443755109093,3.66944894766706,3.05109119142953,3.5545954021323,NaN,NaN,NaN,NaN,NaN,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,NaN,NaN,NaN,NaN,NaN,3.4408189929395,2.51975292177922,3.87612502152976,3.07077361839947,3.66281604173737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.82626672846367,2.74802291369126,2.91120249257723,2.78369058625818,2.87108048327746,2.80705648493862,2.73615492929955,2.88900153918604,2.76842278151679,2.84895650868319,2.96269568371977,2.88594957000121,3.05013540088578,2.92215849955022,3.00870195937628,NaN,NaN,NaN,NaN,NaN,3.44964701007001,2.77630668294235,3.70325951255317,3.17071357765532,3.57982409284453,NaN,NaN,NaN,NaN,NaN,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,3.6280837087158,NaN,NaN,NaN,NaN,NaN,3.53915236070558,2.80034395675998,3.91828514476597,3.26022393791479,3.71885261345622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
